------------------------------|---------|----------|---------|---------|--------------------------------
File                          | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s              
------------------------------|---------|----------|---------|---------|--------------------------------
All files                     |    91.3 |    78.92 |   91.42 |   92.18 |                                
 src                          |   94.73 |    33.33 |      75 |   94.73 |                                
  app.js                      |   94.73 |    33.33 |      75 |   94.73 | 163-167                        
 src/controllers              |   89.24 |    80.83 |   91.07 |   90.23 |                                
  adminController.js          |     100 |    83.33 |     100 |     100 | 6,35,64,95                     
  authController.js           |   96.07 |     86.2 |     100 |   96.07 | 118,126                        
  dashboardController.js      |   94.66 |    80.28 |     100 |   95.65 | 213-216                        
  fleetAnalyticsController.js |   96.55 |    78.26 |     100 |   96.55 | 104                            
  fuelHistoryController.js    |   76.47 |    57.14 |     100 |   76.47 | 26-28,48-50,73-75,100-102      
  geofenceController.js       |   76.92 |    74.24 |   81.81 |   76.92 | 41-42,74-80,98,122-124,306-338 
  safetyController.js         |   86.66 |     86.9 |      80 |    90.9 | 25,462-473                     
  tripController.js           |   88.23 |     64.7 |     100 |   93.75 | 32,183                         
  vehicleController.js        |   98.71 |    92.85 |     100 |    98.7 | 56                             
  vehiclesController.js       |   90.47 |    77.77 |      50 |      95 | 166                            
 src/db                       |     100 |       50 |     100 |     100 |                                
  pool.js                     |     100 |       50 |     100 |     100 | 5                              
 src/middleware               |   90.47 |    84.61 |     100 |   90.47 |                                
  auth.js                     |   90.47 |    84.61 |     100 |   90.47 | 11-19,86-87                    
 src/routes                   |     100 |      100 |     100 |     100 |                                
  admin.js                    |     100 |      100 |     100 |     100 |                                
  auth.js                     |     100 |      100 |     100 |     100 |                                
  dashboard.js                |     100 |      100 |     100 |     100 |                                
  fleetAnalytics.js           |     100 |      100 |     100 |     100 |                                
  fuelHistoryRoutes.js        |     100 |      100 |     100 |     100 |                                
  geofence.js                 |     100 |      100 |     100 |     100 |                                
  safety.js                   |     100 |      100 |     100 |     100 |                                
  trip.js                     |     100 |      100 |     100 |     100 |                                
  vehicles.js                 |     100 |      100 |     100 |     100 |                                
 src/services                 |   97.61 |    56.25 |     100 |     100 |                                
  fuelHistoryService.js       |   97.61 |    56.25 |     100 |     100 | 7-73,93-154                    
 src/utils                    |     100 |      100 |     100 |     100 |                                
  response.js                 |     100 |      100 |     100 |     100 |                                
------------------------------|---------|----------|---------|---------|--------------------------------
